Chapter_Number,Chapter_Title_KN,Chapter_Title_EN,Page_Range,Kannada_Term,English_Term,Transliteration,Category,Importance_Level,Frequency_in_Chapter,Kannada_Definition,English_Definition,Example_KN,Example_EN,Mnemonic_or_Tip
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ವಿಕರ್ಣ / ಕರ್ಣ (ತ್ರಿಭುಜ),Hypotenuse,Vikarna / Karna,Geometry,Core / Essential,82,ಲಂಬಕೋನ ತ್ರಿಭುಜದಲ್ಲಿ ಲಂಬಕೋನಕ್ಕೆ (90°) ಅಭಿಮುಖವಾಗಿರುವ ಅತಿ ಉದ್ದದ ಬಾಹು.,"The longest side of a right-angled triangle, opposite the right angle.","ತ್ರಿಭುಜ ABC ಯಲ್ಲಿ ಕೋನ B = 90° ಆದರೆ, AC ಕರ್ಣವಾಗಿರುತ್ತದೆ.","In triangle ABC with angle B = 90°, AC is the hypotenuse.",Hypotenuse is always the longest side of a right triangle.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ಚೌಕ / ಸಮಚತುರ್ಭುಜ,Square (Geometry),Chowka / Samachaturbhuja,Geometry,Core / Essential,63,"ನಾಲ್ಕೂ ಬಾಹುಗಳು ಸಮನಾಗಿದ್ದು, ಎಲ್ಲಾ ಕೋನಗಳು 90° ಆಗಿರುವ ಸಮ ನಿಯಮಿತ ಚತುರ್ಭುಜ.",A regular quadrilateral with four equal sides and four right angles (90°).,ಚೌಕದ ಕರ್ಣಗಳು ಲಂಬವಾಗಿ ಪರಸ್ಪರ ಅರ್ಧಿಸುತ್ತವೆ.,The diagonals of a square bisect each other at right angles (perpendicularly).,All 4 sides equal and all 4 angles 90°.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ಸಮಾಂತರ ಚತುರ್ಭುಜ,Parallelogram,Samaantara Chaturbhuja,Geometry,Core / Essential,48,ಅಭಿಮುಖ ಬಾಹುಗಳೆರಡೂ ಪರಸ್ಪರ ಸಮಾಂತರವಾಗಿರುವ ಮತ್ತು ಸಮನಾಗಿರುವ ಚತುರ್ಭುಜ.,A quadrilateral with two pairs of parallel opposite sides.,ಸಮಾಂತರ ಚತುರ್ಭುಜದ ಅಭಿಮುಖ ಕೋನಗಳು ಸಮನಾಗಿರುತ್ತವೆ.,Opposite angles of a parallelogram are equal.,Opposite sides run parallel like railway tracks.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ವಜ್ರಾಕೃತಿ / ರೋಂಬಸ್,Rhombus,Vajraakriti / Rhombus,Geometry,Core / Essential,41,"ನಾಲ್ಕೂ ಬಾಹುಗಳು ಸಮನಾಗಿರುವ, ಆದರೆ ಕೋನಗಳು ಲಂಬಕೋನವಾಗಿರಬೇಕಿಲ್ಲದ ಸಮಾಂತರ ಚತುರ್ಭುಜ.",A parallelogram with all four sides of equal length.,ವಜ್ರಾಕೃತಿಯ ಕರ್ಣಗಳು ಪರಸ್ಪರ ಲಂಬವಾಗಿ ಛೇದಿಸುತ್ತವೆ.,The diagonals of a rhombus bisect each other at right angles.,A slanted square (diamond shape) with equal sides.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ತ್ರಾಪಿಜ್ಯ,Trapezium / Trapezoid,Traapijya,Geometry,Core / Essential,17,ಕೇವಲ ಒಂದು ಜೋಡಿ ಅಭಿಮುಖ ಬಾಹುಗಳು ಮಾತ್ರ ಸಮಾಂತರವಾಗಿರುವ ಚತುರ್ಭುಜ.,A quadrilateral with at least one pair of parallel opposite sides.,ತ್ರಾಪಿಜ್ಯದ ಸಮಾಂತರ ಬಾಹುಗಳ ನಡುವಿನ ಲಂಬದೂರವನ್ನು ಎತ್ತರ ಎನ್ನುತ್ತೇವೆ.,The perpendicular distance between parallel sides of a trapezium is its height.,Looks like a tabletop or truncated triangle.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ಪತಂಗ,Kite,Patanga,Geometry,Core / Essential,13,ಎರಡು ಜೋಡಿ ಸಮಾನ ಉದ್ದದ ಪಾರ್ಶ್ವ ಬಾಹುಗಳನ್ನು ಹೊಂದಿರುವ ಚತುರ್ಭುಜ.,A quadrilateral with two distinct pairs of adjacent sides that are equal in length.,ಪತಂಗದ ಕರ್ಣಗಳು ಪರಸ್ಪರ ಲಂಬವಾಗಿರುತ್ತವೆ.,The diagonals of a kite intersect at right angles.,Shaped exactly like a flying kite!
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ವರ್ಗ,Square,Varga,Arithmetic & Powers,Important,4,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The result obtained by multiplying a number by itself (e.g., n × n = n²).",5 ರ ವರ್ಗ 25 (5² = 25).,The square of 5 is 25 (5² = 25).,Think of a geometric 'Square' with equal sides: Area = side × side.
4,ಚತುರ್ಭುಜಗಳು,Quadrilaterals,pp. 104-134,ವೃತ್ತ,Circle,Vritta,Geometry,Important,4,ಸ್ಥಿರ ಬಿಂದುವಿನಿಂದ (ಕೇಂದ್ರ) ಸಮಾನ ದೂರದಲ್ಲಿರುವ ಎಲ್ಲಾ ಸಮತಲ ಬಿಂದುಗಳ ಪಥ.,A round plane figure whose boundary consists of points equidistant from a fixed center.,ವೃತ್ತದ ಕೇಂದ್ರದಿಂದ ಪರಿಧಿಗೆ ಇರುವ ದೂರವೇ ತ್ರಿಜ್ಯ (r).,The distance from the center of a circle to its boundary is radius (r).,"Perfect round shape, 360° total angle."
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ಅಪವರ್ತ್ಯ / ಗುಣಕ,Multiple,Apavartya / Gunaka,Divisibility & Factors,Core / Essential,150,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಯಾವುದೇ ಪೂರ್ಣಾಂಕದಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಫಲಿತಾಂಶ.,The product of a given number multiplied by any integer.,"5 ರ ಅಪವರ್ತ್ಯಗಳು: 5, 10, 15, 20, 25...","Multiples of 5 are 5, 10, 15, 20, 25...",Multiples are what you get when counting by that number (times tables).
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ಬೀಜೋಕ್ತಿ,Algebraic Expression,Beejokti,Algebra,Core / Essential,53,"ಚರಾಕ್ಷರಗಳು, ಸ್ಥಿರಾಂಕಗಳು ಮತ್ತು ಮೂಲ ಗಣಿತ ಕ್ರಿಯೆಗಳನ್ನು (+, -, ×, ÷) ಒಳಗೊಂಡ ಅಭಿವ್ಯಕ್ತಿ.","A mathematical phrase that can contain numbers, variables, and operation symbols.",3x² + 5x - 7 ಒಂದು ಬೀಜೋಕ್ತಿಯಾಗಿದೆ.,3x² + 5x - 7 is an algebraic expression.,Does not contain an '=' equal sign.
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ಅಪವರ್ತನ,Factor / Divisor,Apavartana,Divisibility & Factors,Core / Essential,31,ಕೊಟ್ಟಿರುವ ಸಂಖ್ಯೆಯನ್ನು ಶೇಷವಿಲ್ಲದೆ (ನಿಶ್ಶೇಷವಾಗಿ) ಭಾಗಿಸುವ ಸಂಖ್ಯೆ.,A whole number that divides another number exactly without leaving a remainder.,"12 ರ ಅಪವರ್ತನಗಳು 1, 2, 3, 4, 6, 12.","The factors of 12 are 1, 2, 3, 4, 6, and 12.",Factors are whole parts that multiply to build the number.
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ಕ್ರಮಾನುಗತ ಸಂಖ್ಯೆಗಳು,Consecutive Numbers,Kramaanugata Sankhyegalu,Number Patterns,Core / Essential,21,"ಯಾವುದೇ ಅಂತರವಿಲ್ಲದೆ ಒಂದರ ನಂತರ ಒಂದರಂತೆ ಸತತವಾಗಿ ಬರುವ ಸಂಖ್ಯೆಗಳು (ಉದಾ: n, n+1, n+2...).","Numbers that follow each other in order, without gaps, from smallest to largest.","7, 8, 9 ಕ್ರಮಾನುಗತ ಸಂಖ್ಯೆಗಳಾಗಿವೆ.","7, 8, 9 are consecutive integers.",Consecutive = in continuous sequence (step by step).
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ಬೀಜಗಣಿತ,Algebra,Beejaganitha,Algebra,Core / Essential,18,"ಅಜ್ಞಾತ ಮೌಲ್ಯಗಳು, ಸಂಬಂಧಗಳು ಮತ್ತು ಸಮೀಕರಣಗಳನ್ನು ಪ್ರತಿನಿಧಿಸಲು ಅಕ್ಷರಗಳು ಮತ್ತು ಸಂಕೇತಗಳನ್ನು ಬಳಸುವ ಗಣಿತದ ಶಾಖೆ.",The branch of mathematics dealing with symbols and the rules for manipulating those symbols in formulas.,ಬೀಜಗಣಿತದಲ್ಲಿ x ಮತ್ತು y ಗಳನ್ನು ಅಜ್ಞಾತ ಚರಗಳಾಗಿ ಬಳಸುತ್ತೇವೆ.,"In algebra, letters like x and y represent unknown quantities.",Generalized arithmetic using letters for unknowns.
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ವಿಭಾಜ್ಯತಾ ನಿಯಮಗಳು,Divisibility Rules / Tests,Vibhaajyataa Niyamagalu,Divisibility & Factors,Core / Essential,0,ಭಾಗಾಕಾರ ಮಾಡದೆಯೇ ಒಂದು ಸಂಖ್ಯೆಯು ಇನ್ನೊಂದು ಸಂಖ್ಯೆಯಿಂದ ನಿಶ್ಶೇಷವಾಗಿ ಭಾಗವಾಗುತ್ತದೆಯೇ ಎಂದು ತಿಳಿಯುವ ಸೂತ್ರಗಳು.,Shorthand rules allowing determination of whether an integer is divisible by a fixed divisor without long division.,"ಸಂಖ್ಯೆಯ ಅಂಕಿಗಳ ಮೊತ್ತ 3 ರಿಂದ ಭಾಗವಾದರೆ, ಆ ಸಂಖ್ಯೆಯು 3 ರಿಂದ ಭಾಗವಾಗುತ್ತದೆ.","If the sum of digits of a number is divisible by 3, the number is divisible by 3.",Quick mathematical shortcuts to test division.
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ತ್ರಿಕೋನ ಸಂಖ್ಯೆಗಳು,Triangular Numbers,Trikoana Sankhyegalu,Number Patterns,Core / Essential,0,"ಬಿಂದುಗಳನ್ನು ಸಮಬಾಹು ತ್ರಿಕೋನದ ಆಕಾರದಲ್ಲಿ ಜೋಡಿಸಿದಾಗ ಸಿಗುವ ಸಂಖ್ಯೆಗಳು: 1, 3, 6, 10, 15...",Numbers that can be represented as an equilateral triangular grid of dots: T_n = n(n+1)/2.,4 ನೇ ತ್ರಿಕೋನ ಸಂಖ್ಯೆ = 1 + 2 + 3 + 4 = 10.,The 4th triangular number is 1 + 2 + 3 + 4 = 10.,Two consecutive triangular numbers always add up to a square number!
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ಸ್ಥಾನಬೆಲೆ,Place Value,Sthaanabele,Number Systems,Important,6,"ಒಂದು ಸಂಖ್ಯೆಯಲ್ಲಿ ಅಂಕಿಯು ಇರುವ ಸ್ಥಾನಕ್ಕೆ ಅನುಗುಣವಾಗಿ ಪಡೆಯುವ ಮೌಲ್ಯ (ಬಿಡಿ, ಹತ್ತು, ನೂರು...).",The numerical value that a digit has by virtue of its position in a number.,352 ರಲ್ಲಿ 5 ರ ಸ್ಥಾನಬೆಲೆ 50 (ಹತ್ತರ ಸ್ಥಾನ).,"In 352, the place value of 5 is 50 (tens place).",Position decides the power of ten each digit represents.
5,ಸಂಖ್ಯೆಗಳ ಆಟ,Playing with Numbers,pp. 135-160,ಶೂನ್ಯ,Zero,Shoonya,Number Systems,Important,6,ಏನೂ ಇಲ್ಲದಿರುವುದನ್ನು ಅಥವಾ ಸ್ಥಾನ ಹಿಡುಕವನ್ನು (place holder) ಸೂಚಿಸುವ ಮಹತ್ವದ ಗಣಿತೀಯ ಸಂಕೇತ.,"The integer denoting nothingness or nullity, acting as a crucial place holder in positional systems.",ಭಾರತೀಯ ಗಣಿತಜ್ಞ ಬ್ರಹ್ಮಗುಪ್ತರು ಶೂನ್ಯದ ಗಣಿತೀಯ ನಿಯಮಗಳನ್ನು ನಿರೂಪಿಸಿದರು.,Indian mathematician Brahmagupta formulated the arithmetic rules of zero.,Zero is both a number and a place-holder placeholder.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ವಿಸ್ತೀರ್ಣ / ಕ್ಷೇತ್ರಫಲ,Area,Visteerna / Kshetraphala,Mensuration,Core / Essential,47,ಸಮತಲ ಆಕೃತಿಯು ಆವರಿಸಿರುವ ಒಟ್ಟು ಜಾಗ ಅಥವಾ ಮೇಲ್ಮೈಯ ಅಳತೆ (ಚದರ ಏಕಮಾನಗಳಲ್ಲಿ).,The measurement of the surface extent enclosed within a 2D boundary (expressed in square units).,ಆಯತದ ವಿಸ್ತೀರ್ಣ = ಉದ್ದ × ಅಗಲ (Area = l × b).,Area of rectangle = length × breadth (l × b).,Area = Number of 1x1 unit square tiles needed to cover a surface.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ಬೀಜೋಕ್ತಿ,Algebraic Expression,Beejokti,Algebra,Core / Essential,44,"ಚರಾಕ್ಷರಗಳು, ಸ್ಥಿರಾಂಕಗಳು ಮತ್ತು ಮೂಲ ಗಣಿತ ಕ್ರಿಯೆಗಳನ್ನು (+, -, ×, ÷) ಒಳಗೊಂಡ ಅಭಿವ್ಯಕ್ತಿ.","A mathematical phrase that can contain numbers, variables, and operation symbols.",3x² + 5x - 7 ಒಂದು ಬೀಜೋಕ್ತಿಯಾಗಿದೆ.,3x² + 5x - 7 is an algebraic expression.,Does not contain an '=' equal sign.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ರೇಖಾತ್ಮಕ ಸಮೀಕರಣ,Linear Equation in One Variable,Rekhaatmaka Sameekarana,Algebra,Core / Essential,39,ಚರಾಕ್ಷರದ ಗರಿಷ್ಠ ಘಾತ 1 ಆಗಿರುವ ಮತ್ತು '=' ಚಿಹ್ನೆಯನ್ನು ಹೊಂದಿರುವ ಗಣಿತ ಸಮಾನತೆಯ ಹೇಳಿಕೆ (ax + b = 0).,An algebraic equation where the highest exponent of the variable is 1 (ax + b = c).,"2x + 5 = 15 ಒಂದು ರೇಖಾತ್ಮಕ ಸಮೀಕರಣ, ಇದರ ಪರಿಹಾರ x = 5.",2x + 5 = 15 is a linear equation with solution x = 5.,Linear = Forms a straight line graph with power 1.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ಚೌಕ / ಸಮಚತುರ್ಭುಜ,Square (Geometry),Chowka / Samachaturbhuja,Geometry,Core / Essential,23,"ನಾಲ್ಕೂ ಬಾಹುಗಳು ಸಮನಾಗಿದ್ದು, ಎಲ್ಲಾ ಕೋನಗಳು 90° ಆಗಿರುವ ಸಮ ನಿಯಮಿತ ಚತುರ್ಭುಜ.",A regular quadrilateral with four equal sides and four right angles (90°).,ಚೌಕದ ಕರ್ಣಗಳು ಲಂಬವಾಗಿ ಪರಸ್ಪರ ಅರ್ಧಿಸುತ್ತವೆ.,The diagonals of a square bisect each other at right angles (perpendicularly).,All 4 sides equal and all 4 angles 90°.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ವರ್ಗ,Square,Varga,Arithmetic & Powers,Core / Essential,20,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The result obtained by multiplying a number by itself (e.g., n × n = n²).",5 ರ ವರ್ಗ 25 (5² = 25).,The square of 5 is 25 (5² = 25).,Think of a geometric 'Square' with equal sides: Area = side × side.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ವಿತರಣಾ ನಿಯಮ,Distributive Property / Law,Vitaranaa Niyama,Algebra,Core / Essential,15,ಗುಣಾಕಾರವನ್ನು ಸಂಕಲನದ ಮೇಲೆ ವಿಸ್ತರಿಸುವ ನಿಯಮ: a(b + c) = ab + ac.,The algebraic law stating that multiplying a sum by a number gives the same result as multiplying each addend separately: a(b + c) = ab + ac.,4(x + 3) = 4x + 12.,4(x + 3) = 4x + 12.,Distribute the outside multiplier to every term inside.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ಬೀಜಗಣಿತ,Algebra,Beejaganitha,Algebra,Core / Essential,8,"ಅಜ್ಞಾತ ಮೌಲ್ಯಗಳು, ಸಂಬಂಧಗಳು ಮತ್ತು ಸಮೀಕರಣಗಳನ್ನು ಪ್ರತಿನಿಧಿಸಲು ಅಕ್ಷರಗಳು ಮತ್ತು ಸಂಕೇತಗಳನ್ನು ಬಳಸುವ ಗಣಿತದ ಶಾಖೆ.",The branch of mathematics dealing with symbols and the rules for manipulating those symbols in formulas.,ಬೀಜಗಣಿತದಲ್ಲಿ x ಮತ್ತು y ಗಳನ್ನು ಅಜ್ಞಾತ ಚರಗಳಾಗಿ ಬಳಸುತ್ತೇವೆ.,"In algebra, letters like x and y represent unknown quantities.",Generalized arithmetic using letters for unknowns.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ಆಯತ,Rectangle,Aayatha,Geometry,Important,8,ಎಲ್ಲಾ ಕೋನಗಳು 90° (ಲಂಬಕೋನ) ಮತ್ತು ಅಭಿಮುಖ ಬಾಹುಗಳು ಸಮನಾಗಿರುವ ಚತುರ್ಭುಜ.,An equiangular quadrilateral where all four angles are right angles (90°) and opposite sides are equal.,ಆಯತದ ಕರ್ಣಗಳು ಪರಸ್ಪರ ಸಮ ಮತ್ತು ಅರ್ಧಿಸುತ್ತವೆ.,The diagonals of a rectangle are equal and bisect each other.,"Opposite sides equal, 4 right angles."
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ವೃತ್ತ,Circle,Vritta,Geometry,Important,5,ಸ್ಥಿರ ಬಿಂದುವಿನಿಂದ (ಕೇಂದ್ರ) ಸಮಾನ ದೂರದಲ್ಲಿರುವ ಎಲ್ಲಾ ಸಮತಲ ಬಿಂದುಗಳ ಪಥ.,A round plane figure whose boundary consists of points equidistant from a fixed center.,ವೃತ್ತದ ಕೇಂದ್ರದಿಂದ ಪರಿಧಿಗೆ ಇರುವ ದೂರವೇ ತ್ರಿಜ್ಯ (r).,The distance from the center of a circle to its boundary is radius (r).,"Perfect round shape, 360° total angle."
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ಕರ್ಣ,Diagonal,Karna,Geometry,Important,4,ಬಹುಭುಜಾಕೃತಿಯ ಯಾವುದೇ ಎರಡು ಅನುಕ್ರಮವಲ್ಲದ (ಅಕ್ಕಪಕ್ಕದಲ್ಲದ) ಶೃಂಗಗಳನ್ನು ಜೋಡಿಸುವ ಸರಳರೇಖೆ.,A straight line segment joining two non-consecutive vertices of a polygon.,ಚತುರ್ಭುಜವು 2 ಕರ್ಣಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ.,A quadrilateral has 2 diagonals.,Cross line connecting opposite corners.
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ಅಪವರ್ತ್ಯ / ಗುಣಕ,Multiple,Apavartya / Gunaka,Divisibility & Factors,Important,4,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಯಾವುದೇ ಪೂರ್ಣಾಂಕದಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಫಲಿತಾಂಶ.,The product of a given number multiplied by any integer.,"5 ರ ಅಪವರ್ತ್ಯಗಳು: 5, 10, 15, 20, 25...","Multiples of 5 are 5, 10, 15, 20, 25...",Multiples are what you get when counting by that number (times tables).
6,ನಾವು ವಿಭಜಿಸುತ್ತೇವೆ ಆದರೆ ಅವು ಗುಣಿಸಲ್ಪಡುತ್ತವೆ,"Factors, Multiples and Algebraic Expressions",pp. 161-184,ವಿಕರ್ಣ / ಕರ್ಣ (ತ್ರಿಭುಜ),Hypotenuse,Vikarna / Karna,Geometry,Important,4,ಲಂಬಕೋನ ತ್ರಿಭುಜದಲ್ಲಿ ಲಂಬಕೋನಕ್ಕೆ (90°) ಅಭಿಮುಖವಾಗಿರುವ ಅತಿ ಉದ್ದದ ಬಾಹು.,"The longest side of a right-angled triangle, opposite the right angle.","ತ್ರಿಭುಜ ABC ಯಲ್ಲಿ ಕೋನ B = 90° ಆದರೆ, AC ಕರ್ಣವಾಗಿರುತ್ತದೆ.","In triangle ABC with angle B = 90°, AC is the hypotenuse.",Hypotenuse is always the longest side of a right triangle.
7,ಸಮಾನುಪಾತತೆಯ ತಾರ್ಕಿಕತೆ-1,Proportional Reasoning - 1,pp. 185-208,ಅನುಪಾತ,Ratio,Anupaatha,Ratios & Proportions,Core / Essential,200,ಒಂದೇ ಏಕಮಾನವುಳ್ಳ ಎರಡು ಪ್ರಮಾಣಗಳನ್ನು ಭಾಗಾಕಾರದ ಮೂಲಕ ಹೋಲಿಸುವುದು (a : b ಅಥವಾ a/b).,A quantitative relationship between two amounts showing how many times one value contains another (symbol a:b).,"ತರಗತಿಯಲ್ಲಿ 20 ಹುಡುಗರು ಮತ್ತು 30 ಹುಡುಗಿಯರಿದ್ದರೆ, ಅನುಪಾತ 20:30 = 2:3.","If there are 20 boys and 30 girls, the ratio is 20:30 = 2:3.",Ratio compares parts to parts or parts to whole.
7,ಸಮಾನುಪಾತತೆಯ ತಾರ್ಕಿಕತೆ-1,Proportional Reasoning - 1,pp. 185-208,ಸಮಾನುಪಾತ,Proportion,Samaanupaatha,Ratios & Proportions,Core / Essential,59,ಎರಡು ಅನುಪಾತಗಳು ಪರಸ್ಪರ ಸಮನಾಗಿರುವ ಸ್ಥಿತಿ (a:b = c:d ಅಥವಾ a:b :: c:d).,An equation stating that two given ratios are equal (a/b = c/d).,2:3 ಮತ್ತು 4:6 ಸಮಾನುಪಾತದಲ್ಲಿವೆ (2/3 = 4/6).,2:3 and 4:6 are in proportion (2/3 = 4/6).,Proportion = Equality of two ratios (ad = bc).
7,ಸಮಾನುಪಾತತೆಯ ತಾರ್ಕಿಕತೆ-1,Proportional Reasoning - 1,pp. 185-208,ಆಯತ,Rectangle,Aayatha,Geometry,Core / Essential,16,ಎಲ್ಲಾ ಕೋನಗಳು 90° (ಲಂಬಕೋನ) ಮತ್ತು ಅಭಿಮುಖ ಬಾಹುಗಳು ಸಮನಾಗಿರುವ ಚತುರ್ಭುಜ.,An equiangular quadrilateral where all four angles are right angles (90°) and opposite sides are equal.,ಆಯತದ ಕರ್ಣಗಳು ಪರಸ್ಪರ ಸಮ ಮತ್ತು ಅರ್ಧಿಸುತ್ತವೆ.,The diagonals of a rectangle are equal and bisect each other.,"Opposite sides equal, 4 right angles."
7,ಸಮಾನುಪಾತತೆಯ ತಾರ್ಕಿಕತೆ-1,Proportional Reasoning - 1,pp. 185-208,ವೇಗ,Speed,Vega,Physics & Proportions,Core / Essential,10,ವಸ್ತುವೊಂದು ಏಕಮಾನ ಕಾಲದಲ್ಲಿ ಕ್ರಮಿಸಿದ ದೂರ (ವೇಗ = ದೂರ / ಕಾಲ).,The rate at which an object covers distance: Speed = Distance / Time.,"ಕಾರು 2 ಗಂಟೆಗಳಲ್ಲಿ 120 km ಚಲಿಸಿದರೆ, ವೇಗ = 60 km/h.","If a car covers 120 km in 2 hours, speed = 60 km/h.",Speed = Distance ÷ Time (km/h or m/s).
7,ಸಮಾನುಪಾತತೆಯ ತಾರ್ಕಿಕತೆ-1,Proportional Reasoning - 1,pp. 185-208,ಏಕಮಾನ ಪದ್ಧತಿ,Unitary Method,Ekamana Paddhati,Ratios & Proportions,Core / Essential,0,"ಮೊದಲು ಒಂದು ಏಕಮಾನದ (ವಸ್ತುವಿನ) ಮೌಲ್ಯವನ್ನು ಕಂಡುಹಿಡಿದು, ನಂತರ ಅಗತ್ಯವಿರುವ ಸಂಖ್ಯೆಯ ಮೌಲ್ಯವನ್ನು ಕಂಡುಹಿಡಿಯುವ ವಿಧಾನ.","A mathematical technique of finding the value of a single unit first, then multiplying to find the required amount.","5 ಪೆನ್ನುಗಳ ಬೆಲೆ ₹50 ಆದರೆ, 1 ಪೆನ್ನಿನ ಬೆಲೆ ₹10, ಆದ್ದರಿಂದ 8 ಪೆನ್ನುಗಳ ಬೆಲೆ ₹80.","If 5 pens cost ₹50, 1 pen costs ₹10, so 8 pens cost ₹80.",Find the cost/value of 1 single unit first!
7,ಸಮಾನುಪಾತತೆಯ ತಾರ್ಕಿಕತೆ-1,Proportional Reasoning - 1,pp. 185-208,ಘನ,Cube,Ghana,Arithmetic & Powers,Important,7,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಮೂರು ಬಾರಿ ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The product of a number multiplied by itself three times (e.g., n × n × n = n³).",4 ರ ಘನ 64 (4³ = 64).,The cube of 4 is 64 (4³ = 64).,Think of a 3D 'Cube' block: Volume = length × width × height.
7,ಸಮಾನುಪಾತತೆಯ ತಾರ್ಕಿಕತೆ-1,Proportional Reasoning - 1,pp. 185-208,ಚೌಕ / ಸಮಚತುರ್ಭುಜ,Square (Geometry),Chowka / Samachaturbhuja,Geometry,Important,7,"ನಾಲ್ಕೂ ಬಾಹುಗಳು ಸಮನಾಗಿದ್ದು, ಎಲ್ಲಾ ಕೋನಗಳು 90° ಆಗಿರುವ ಸಮ ನಿಯಮಿತ ಚತುರ್ಭುಜ.",A regular quadrilateral with four equal sides and four right angles (90°).,ಚೌಕದ ಕರ್ಣಗಳು ಲಂಬವಾಗಿ ಪರಸ್ಪರ ಅರ್ಧಿಸುತ್ತವೆ.,The diagonals of a square bisect each other at right angles (perpendicularly).,All 4 sides equal and all 4 angles 90°.
